            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448341.295138889, A.D. 1991-Mar-25 19:05:00.0000, -8.048419710018294E+07,  3.092782021833495E+08,  1.192473000789064E+07,
2448342.295138889, A.D. 1991-Mar-26 19:05:00.0000, -8.276881999508344E+07,  3.122553985135913E+08,  1.195531577404869E+07,
2448343.295138889, A.D. 1991-Mar-27 19:05:00.0000, -8.509321796706074E+07,  3.152224804677452E+08,  1.198569010017206E+07,
2448344.295138889, A.D. 1991-Mar-28 19:05:00.0000, -8.745726949784954E+07,  3.181788036032985E+08,  1.201585961319791E+07,
2448345.295138889, A.D. 1991-Mar-29 19:05:00.0000, -8.986085445298025E+07,  3.211237284234442E+08,  1.204582983141372E+07,
2448346.295138889, A.D. 1991-Mar-30 19:05:00.0000, -9.230385499107605E+07,  3.240566201434745E+08,  1.207560515626995E+07,
2448347.295138889, A.D. 1991-Mar-31 19:05:00.0000, -9.478615318656030E+07,  3.269768412519139E+08,  1.210518868932289E+07,
2448348.295138889, A.D. 1991-Apr-01 19:05:00.0000, -9.730762933425027E+07,  3.298837504329120E+08,  1.213458235809691E+07,
2448349.295138889, A.D. 1991-Apr-02 19:05:00.0000, -9.986815948471941E+07,  3.327767010593442E+08,  1.216378705795087E+07,
2448350.295138889, A.D. 1991-Apr-03 19:05:00.0000, -1.024676125881983E+08,  3.356550391379920E+08,  1.219280277211036E+07,
2448351.295138889, A.D. 1991-Apr-04 19:05:00.0000, -1.051058497131159E+08,  3.385181076663802E+08,  1.222162890091607E+07,
2448352.295138889, A.D. 1991-Apr-05 19:05:00.0000, -1.077827212860445E+08,  3.413652432006051E+08,  1.225026426774949E+07,
